,short_position,GKDiving,Composure,Finishing,Vision,Strength,Stamina,Jumping,ShotPower,Reactions,Agility,Dribbling,HeadingAccuracy
0,front,6.0,96.0,95.0,94.0,59.0,72.0,68.0,85.0,95.0,91.0,97.0,70.0
1,front,7.0,95.0,94.0,82.0,79.0,88.0,95.0,95.0,96.0,87.0,88.0,89.0
2,midfield,9.0,94.0,87.0,87.0,49.0,81.0,61.0,80.0,94.0,96.0,96.0,62.0
3,goalkeeper,90.0,68.0,13.0,68.0,64.0,43.0,67.0,31.0,90.0,60.0,18.0,21.0
4,midfield,15.0,88.0,82.0,94.0,75.0,90.0,63.0,91.0,91.0,79.0,86.0,55.0
5,front,11.0,91.0,84.0,89.0,66.0,83.0,56.0,82.0,90.0,95.0,95.0,61.0
6,midfield,13.0,84.0,72.0,92.0,58.0,89.0,68.0,79.0,90.0,93.0,90.0,55.0
7,front,27.0,85.0,93.0,84.0,83.0,90.0,69.0,86.0,92.0,82.0,87.0,77.0
8,back,11.0,82.0,60.0,63.0,83.0,84.0,93.0,79.0,85.0,78.0,63.0,91.0
9,goalkeeper,86.0,70.0,11.0,70.0,78.0,41.0,76.0,22.0,86.0,67.0,12.0,15.0
10,front,15.0,86.0,91.0,77.0,84.0,78.0,84.0,88.0,90.0,78.0,85.0,85.0
11,midfield,10.0,85.0,76.0,86.0,73.0,75.0,30.0,87.0,89.0,70.0,81.0,54.0
12,back,6.0,82.0,42.0,52.0,88.0,66.0,91.0,67.0,85.0,58.0,53.0,92.0
13,midfield,6.0,93.0,76.0,92.0,52.0,78.0,64.0,72.0,90.0,92.0,89.0,54.0
14,midfield,15.0,85.0,65.0,79.0,76.0,96.0,77.0,71.0,93.0,82.0,79.0,54.0
15,front,5.0,84.0,84.0,87.0,65.0,80.0,75.0,82.0,86.0,91.0,92.0,68.0
16,front,8.0,89.0,94.0,80.0,84.0,89.0,78.0,88.0,91.0,71.0,80.0,85.0
17,midfield,14.0,87.0,90.0,83.0,62.0,83.0,90.0,80.0,90.0,90.0,88.0,84.0
18,goalkeeper,87.0,69.0,14.0,69.0,79.0,35.0,79.0,22.0,85.0,37.0,17.0,11.0
19,goalkeeper,85.0,66.0,14.0,44.0,70.0,38.0,68.0,36.0,84.0,61.0,13.0,13.0
20,midfield,5.0,90.0,67.0,87.0,77.0,86.0,66.0,61.0,87.0,66.0,80.0,68.0
21,front,12.0,82.0,89.0,77.0,78.0,92.0,88.0,87.0,91.0,77.0,80.0,89.0
22,goalkeeper,90.0,70.0,13.0,70.0,80.0,43.0,77.0,25.0,84.0,51.0,30.0,25.0
23,front,13.0,90.0,93.0,83.0,73.0,76.0,81.0,88.0,90.0,86.0,89.0,77.0
24,back,3.0,84.0,33.0,50.0,89.0,65.0,89.0,78.0,82.0,54.0,58.0,83.0
25,midfield,13.0,86.0,88.0,82.0,71.0,83.0,75.0,79.0,87.0,92.0,90.0,77.0
26,midfield,14.0,91.0,90.0,82.0,70.0,84.0,68.0,77.0,91.0,91.0,89.0,59.0
27,midfield,13.0,84.0,59.0,77.0,89.0,87.0,88.0,86.0,84.0,62.0,69.0,76.0
28,midfield,15.0,87.0,83.0,89.0,68.0,70.0,54.0,86.0,85.0,83.0,85.0,62.0
29,midfield,8.0,83.0,77.0,87.0,44.0,75.0,53.0,75.0,83.0,94.0,90.0,56.0
30,midfield,10.0,86.0,79.0,89.0,59.0,70.0,64.0,69.0,77.0,87.0,94.0,55.0
31,midfield,9.0,88.0,80.0,91.0,58.0,92.0,50.0,84.0,88.0,79.0,84.0,52.0
32,midfield,12.0,85.0,79.0,90.0,61.0,79.0,59.0,83.0,83.0,92.0,91.0,48.0
